Name,POINT_X,POINT_Y
Wan Jetty,3.19939614,6.419538942
Sabokeji,3.376873,6.432683
Epe Marina,3.977652,6.577589
Sangotedo Ajah,3.561498,6.47481
Mile 2 Jetty,3.308187617,6.458720666
Liverpool jetty,3.359178759,6.439113465
Itomu,3.62880685,6.500594068
Illeshe,3.204625621,6.406195123
Ijede Jetty,3.589441498,6.563311859
"Ilado Jetty, Amuwo Odofin",3.4405139,6.4413444
Ijegun Egba Jetty,3.2589806,6.4278667
Gbaji Yekeme Jetty,2.860665518,6.419345896
Ibeshe Jetty,3.548799796,6.537836294
Five cowries Terminal,3.427191583,6.442018997
"Eputu Landing, Ibeju Lekki",3.7151611,6.4827972
Etegbin Jetty,3.143769568,6.449666454
Epe Marina,3.977653743,6.577616197
Enu-edo Jetty,3.007162859,6.411210103
Commando jetty,2.874856241,6.417932767
Ebute Ero Jetty,3.382521692,6.462795136
Ebute Ojo Terminal,3.205650411,6.453080863
Coconut Landing,3.336082897,6.4380531
 Bogije,3.755887331,6.491350505
Bariga  jetty,3.39997939,6.528338523
Badore (Tarzan) Jetty,3.614916666,6.512052778
Apa Jetty,2.824798319,6.437609225
Agboyi Ketu Jetty,3.407633126,6.582565219
Ajido Jetty,3.007832428,6.413708155
Agbara Jetty,3.10327623,6.499192334
